title,eday,year,genre,auctionOrder,haras1,name,padrilloAuction,yeguaAuction,studbook_id,birth_eday,PR,PS,PRS,valueUSDB,pricePerBp
Resumen - Gran Venta Seleccion Haras Firmamento,22apr2025,2025,Macho,13,Firmamento,THE GREAT CONY,THE GREAT DAY,CONNIE SEATTLE,446295,17oct2023,.7145043,.096373193,.068859063,12070.639,1752.9485
Resumen - Gran Venta Seleccion Haras Firmamento,22apr2025,2025,Hembra,40,Firmamento,VITAMINA BOMB,HIT IT A BOMB,VITAMINA CAT,446324,27sep2023,.66320401,.10828262,.071813464,6035.3193,840.41614
Resumen - Gran Venta Seleccion Haras Firmamento,22apr2025,2025,Macho,31,Firmamento,EMOTION OLE,EMOTION ORPEN,SUPER OLA,441700,22jul2023,.69596249,.12356392,.085995853,9749.3613,1133.7013
Resumen - Gran Venta Seleccion Haras Firmamento,22apr2025,2025,Macho,14,Firmamento,RE SINGER,REMOTE,SING NISTEL,442155,07aug2023,.71291327,.11017857,.078547761,12534.894,1595.8308
Resumen - Gran Venta Seleccion Haras Firmamento,22apr2025,2025,Macho,6,Firmamento,TOP ONE DAY,THE GREAT DAY,TOP ONE STEP,446319,09oct2023,.66146183,.13568516,.089750558,23212.766,2586.3645
Resumen - Gran Venta Seleccion Haras Firmamento,22apr2025,2025,Hembra,33,Firmamento,HIT JULIETTE,HIT IT A BOMB,TOP JULIETTE,443032,29aug2023,.69961041,.22061054,.15434143,14391.915,932.4726
Resumen - Gran Venta Seleccion Haras Firmamento,22apr2025,2025,Macho,21,Firmamento,THE GREAT DANDY,THE GREAT DAY,DISTINGUIDA ZENDA,442412,31jul2023,.67832315,.11604209,.078714035,14391.915,1828.3798
Resumen - Gran Venta Seleccion Haras Firmamento,22apr2025,2025,Hembra,35,Firmamento,CARRY DAY,THE GREAT DAY,MISS CARRY TOP,441501,04jul2023,.58260548,.16323546,.095101871,7428.085,781.0661
Resumen - Gran Venta Seleccion Haras Firmamento,22apr2025,2025,Macho,15,Firmamento,DANIEL LODE,DANIEL BOONE,DISTINGUIDA LODE,444119,18sep2023,.76584315,.097219959,.074455239,19498.723,2618.8516
Resumen - Gran Venta Seleccion Haras Firmamento,22apr2025,2025,Macho,10,Firmamento,THE GREAT RYE,THE GREAT DAY,TWINS RYE,441829,26jul2023,.72793639,.17969228,.13080455,21355.744,1632.6453
Resumen - Gran Venta Seleccion Haras Firmamento,22apr2025,2025,Hembra,37,Firmamento,THE GREAT MAT,THE GREAT DAY,MISS MAT SEATTLE,442414,31jul2023,.62625307,.10064922,.063031882,6499.5747,1031.1567
Resumen - Gran Venta Seleccion Haras Firmamento,22apr2025,2025,Macho,24,Firmamento,CHAMPAGNE A FULL,FULL MAST,FIESTERA SCAPE,442419,01aug2023,.72098732,.12086111,.087139323,15784.681,1811.4303
Resumen - Gran Venta Seleccion Haras Firmamento,22apr2025,2025,Hembra,34,Firmamento,THE GREAT BIA,THE GREAT DAY,VALDOBBIA,442824,16aug2023,.73753858,.069507279,.051264301,6499.5747,1267.856
Resumen - Gran Venta Seleccion Haras Firmamento,22apr2025,2025,Hembra,38,Firmamento,THE GREAT MISS,THE GREAT DAY,STARRY MISS,443264,05sep2023,.64084351,.073843777,.047322307,6963.8296,1471.5745
Resumen - Gran Venta Seleccion Haras Firmamento,22apr2025,2025,Macho,25,Firmamento,ROBERTS ORPEN,EMOTION ORPEN,ROBERTS KEY,443260,02sep2023,.7443127,.10925282,.081318259,12999.149,1598.5524
Resumen - Gran Venta Seleccion Haras Firmamento,22apr2025,2025,Macho,20,Firmamento,ECO HIT,HIT IT A BOMB,ECOGRAFICA,446288,13oct2023,.78997815,.11546909,.091218062,12534.894,1374.168
Resumen - Gran Venta Seleccion Haras Firmamento,22apr2025,2025,Macho,4,Firmamento,THE GREAT VIN,THE GREAT DAY,CONNIVING,446908,24oct2023,.56472206,.12221806,.069019236,17641.701,2556.0557
Resumen - Gran Venta Seleccion Haras Firmamento,22apr2025,2025,Macho,29,Firmamento,EMERIT HIT,HIT IT A BOMB,EMERIT NISTEL,445837,09aug2023,.77437276,.17218091,.13333221,9285.1064,696.38885
Resumen - Gran Venta Seleccion Haras Firmamento,22apr2025,2025,Macho,19,Firmamento,TAPIT SCAPE,CITYSCAPE,TAPIT SONG,442160,12aug2023,.75084442,.15436496,.11590407,57567.66,4966.8369
Resumen - Gran Venta Seleccion Haras Firmamento,22apr2025,2025,Macho,9,Firmamento,EMPEÑOSO RIM,REMOTE,EMPEÑOSA HOLIDAY,444130,12sep2023,.78290808,.14067718,.11013731,17177.447,1559.6393
Resumen - Gran Venta Seleccion Haras Firmamento,22apr2025,2025,Macho,22,Firmamento,MUSIC DAY,THE GREAT DAY,MUSIC NISTEL,441498,03jul2023,.73287469,.1575879,.11549219,12070.639,1045.1476
Resumen - Gran Venta Seleccion Haras Firmamento,22apr2025,2025,Macho,16,Firmamento,THE GREAT TERMS,THE GREAT DAY,TERMS RYE,446311,04oct2023,.71971107,.11599784,.083484925,16713.191,2001.9413
Resumen - Gran Venta Seleccion Haras Firmamento,22apr2025,2025,Macho,2,Firmamento,CELESTIAL DAY,THE GREAT DAY,CELESTIAL CANDY,446926,30oct2023,.73398358,.1396127,.10247343,38997.445,3805.6152
Resumen - Gran Venta Seleccion Haras Firmamento,22apr2025,2025,Macho,27,Firmamento,HIGH CITY,CITYSCAPE,HIGHFEVER,441834,30jul2023,.71549839,.16601752,.11878527,12534.894,1055.2566
Resumen - Gran Venta Seleccion Haras Firmamento,22apr2025,2025,Hembra,39,Firmamento,EMOTION CAP,EMOTION ORPEN,CAPELA CRAF,441699,19jul2023,.61870044,.13264306,.08206632,14391.915,1753.6932
Resumen - Gran Venta Seleccion Haras Firmamento,22apr2025,2025,Macho,18,Firmamento,NEVER HIT,HIT IT A BOMB,NEVERMIND INC,441826,24jul2023,.76210362,.16951959,.12919149,16248.937,1257.7405
