rank,name,padrillo,M,PRS,PR,PS,Sire_Stk_Wnrs_Rnrs,MomSib_Sibs_at2y,Dam_Mean_T3_BSN,Dam_Raced_STK,Dam_Placed_STK,Dam_Total_Rcs,Best_Foal_Bsn,Best_Foal_Raced_Stk,Best_Foal_Placed_Stk,Dam_Sib_Total_G1G2,DamSibs_G1G2_Total,PRS_Value,ownCharac,father,Fathsiblings,mother,Momsiblings,uncles,maternalParents,inbreedingCoefficient,M_age_at_birth,M_season,MomSib_Sibs_raced_at2y,MomSib_wnrs_STK_at2y,MSib_STK_won_at2y,MSib_mean_cumAEI_at2y,studbook_id,birth_month,criador,birth_eday,MomSib_wnrs3yo_at2y,FathSib_runshare_3yo,sex,Dam_Won_G1_STK,Dam_Won_STK,FathSibSTKWnrsPerRnr,FathSibSTKWnrsPerOffs,MSib_StkWnrs_Offs,FathSib_STKWinnersLast4Gens,FathSibSTKWnrShL4Gens,lote,haras,link,start,end_date,offs_stk_rnrs,offs_stk_wnrs,sire_ps,f_STK_races_total_races,raced_won_g1_yn,cei_per_offs
259,HIT SONG,HIT IT A BOMB (USA),SING A LOVE SONG (USA),.0365189068840865,.7898251285471802,.0462366991934785,.051063828,6,,No,No,0,111.96629,YES,YES,7,.10294118,8034.159514499026,.25205147,.033067681,.29498845,-.21411592,.31496403,-.097295806,.021357292,.0217658657347783,15.342465,10,7,1,1,.36707172,420901,8,Firmamento,26aug2020,1,.72500002,2,0,0,.075000003,.036809817,.16666667,6,.04109589,11,FIRMAMENTO,https://antoniobullrich.com/remates/venta-training-haras-firmamento-19h/lotes,25/08/2025,25/08/2025,0,0,.32805613,.13583139,n-n-n,3.8542528
320,POTRI BOMB,HIT IT A BOMB (USA),POTRI CHECK,.0383377158819791,.7512498780008997,.051031909627722,.051063828,4,119.15089,YES,YES,15,99.675163,No,No,0,0,8434.2974940354,.18806559,.033067681,.29498845,.057717949,.074362561,.020619199,.11344461,.0347162656253204,16.953424,10,3,0,0,.1601779,426868,7,Firmamento,24jul2021,0,.62204725,1,0,1,.062992126,.037558686,0,8,.04040404,6,FIRMAMENTO,https://antoniobullrich.com/remates/venta-training-haras-firmamento-19h/lotes,25/08/2025,25/08/2025,0,0,.32805613,.095828637,y-y-n,1.2413788
680,VALDOBBIA HIT,HIT IT A BOMB (USA),VALDOBBIA,.0296193445841751,.7738556775067325,.0382750239419383,.051063828,0,,No,No,0,87.039574,Yes,Yes,0,0,6516.255808518519,.17566612,.033067681,.29498845,.064429402,-.079656839,.035462141,-.03344018,.031097245762794,5.8986301,5,0,0,0,0,427112,7,Firmamento,31jul2021,0,.62595421,1,0,0,.061068702,.036697246,0,8,.04040404,10,FIRMAMENTO,https://antoniobullrich.com/remates/venta-training-haras-firmamento-19h/lotes,25/08/2025,25/08/2025,0,0,.32805613,.094760314,n-n-n,
538,VITAMINA HIT,HIT IT A BOMB (USA),VITAMINA CAT,.0326277681114531,.8135012717101767,.0401078268050665,.051063828,5,,No,No,0,116.6833,YES,YES,2,.04255319,7178.108984519692,.088869929,.033067681,.29498845,-.053670824,.19045117,.006588906,-.0045128027,.0337510548815771,10.956164,10,4,1,1,.23480503,428423,9,Firmamento,18sep2021,1,.61702126,1,0,0,.056737587,.031872511,.2,8,.04040404,9,FIRMAMENTO,https://antoniobullrich.com/remates/venta-training-haras-firmamento-19h/lotes,25/08/2025,25/08/2025,0,0,.32805613,.093877554,n-n-n,1.7845182
473,REVIVILA,REMOTE (GB),VIVILA BIEN,.0342059265205851,.7299447647982902,.0468609793099036,.098360658,1,,No,No,0,93.43486,No,No,0,0,7525.303834528724,.20046502,.0053198515,.28772137,.079899967,-.079656839,.039566815,.03986375,.0435621219294262,7.7698631,6,1,0,0,0,428824,7,Firmamento,17jul2021,0,.41621622,1,0,0,.1027027,.056379821,0,13,.05284553,5,FIRMAMENTO,https://antoniobullrich.com/remates/venta-training-haras-firmamento-19h/lotes,25/08/2025,25/08/2025,0,0,.29304123,.095544823,n-n-n,0
120,ECOGRAFICO RIM,REMOTE (GB),ECOGRAFICA,.0455792394329313,.8148917070413351,.0559328792268827,.098360658,1,87.461716,No,No,6,97.384949,YES,YES,3,.125,10027.43267524489,.1753034,.0053198515,.28772137,.12772506,.088706732,.0441719,.03986375,.0394774079468334,8.9205475,7,2,0,0,.2139947,429727,10,Firmamento,10oct2021,1,.41538462,2,0,0,.097435899,.049479168,0,13,.05284553,1,FIRMAMENTO,https://antoniobullrich.com/remates/venta-training-haras-firmamento-19h/lotes,25/08/2025,25/08/2025,0,0,.29304123,.092479676,n-n-n,1.7119576
916,EMMA HAPPY,HI HAPPY,EMERIT CELEBRE,.0251592927501295,.6585561860784395,.0382037148568108,.04648526,4,107.11172,Yes,No,9,105.77143,YES,YES,17,.34693879,5535.044405028493,.058757007,.42798069,.10785969,-.13802522,.41508764,.028996594,-.0045128027,.0343380959166097,13.084931,10,4,1,1,.58936328,430115,10,Firmamento,05oct2021,2,.94117647,1,0,0,.05882353,.012578616,.25,2,.02247191,8,FIRMAMENTO,https://antoniobullrich.com/remates/venta-training-haras-firmamento-19h/lotes,25/08/2025,25/08/2025,0,0,.53584039,.13043478,y-n-n,6.3356547
51,BLUCLETTE RIM,REMOTE (GB),BOUCLETTE HOLIDAY,.0530874578344279,.8148917070413351,.0651466414196003,.098360658,2,99.418274,No,No,16,114.46526,YES,YES,11,.17460318,11679.24072357413,.15936124,.0053198515,.28772137,.11942044,.26508272,.052224472,.0084564006,.0242553534335457,9.3013697,7,3,1,1,.81672239,430783,10,Firmamento,19oct2021,1,.41538462,2,0,0,.097435899,.04859335,.5,13,.05284553,2,FIRMAMENTO,https://antoniobullrich.com/remates/venta-training-haras-firmamento-19h/lotes,25/08/2025,25/08/2025,0,0,.29304123,.092835523,n-n-n,8.1672239
342,GIA GIA RIM,REMOTE (GB),PERUGIA GULCH,.0377484547249801,.8065474760099847,.0468025204315595,.098360658,5,101.96031,YES,YES,20,103.02926,Yes,No,0,0,8304.660039495619,.032186687,.0053198515,.28772137,.13187709,.12950023,-.006208688,.016709536,.034798509805114,13.241096,10,6,0,0,.21109053,430785,10,Firmamento,20oct2021,1,.41538462,1,0,1,.097435899,.048346058,0,13,.05284553,3,FIRMAMENTO,https://antoniobullrich.com/remates/venta-training-haras-firmamento-19h/lotes,25/08/2025,25/08/2025,0,0,.29304123,.092788704,y-y-n,2.2797778
358,LOGAN,REMOTE (GB),POTRI CHECK,.035631649903293,.7164694414913358,.049732267476929,.098360658,5,119.15089,YES,YES,15,99.675163,No,No,0,0,7838.962978724465,.15889919,.0053198515,.28772137,.041928738,.074379012,.019353539,.11333561,.0276194402395049,17.99452,10,3,0,0,.1601779,435155,8,Firmamento,08aug2022,0,.48582995,1,0,1,.085020244,.048951048,0,7,.029787235,7,FIRMAMENTO,https://antoniobullrich.com/remates/venta-training-haras-firmamento-19h/lotes,25/08/2025,25/08/2025,0,0,.29304123,.090719067,y-y-n,.99310303
