padrillo,FatherSeason,ShareVaciosL2S,mMeanMaxBsn,Offs5yom,Offs3yo,OffsMeanKg,OffsMeanDist,ShareRacedAt2yo,Share4_5toRacedBy4yo,Share4yopRacedBy4yo,MeanRcsBy4yo,STKRcsBy5yoCurr5yomPer5yom,STKWinsBy5yoCurr5yomPer5yom,STKWinsBy4yoCurr4yomPer4yom,PctCurr3_4yoInTop100BSN,CEIBy5yoCurr5yomPer5yo,G1WnnrsOverOffs,G1Wnnrs4_5yoOverOffs4_5yo,OffsRaced,OffsWon,WonOverRaced,OffsRcs,OffsWins,WinsOverRcs,OffsSTKRan,OffsG1Rcs,OffsSTKWon,OffsG1Won,STKRacesShare,STKWinsOverRcs,G1WinsOverRcs
SUPER SAVER,2,.24576271,105.05559,87,0,474.34445,1446.2621,.25,.7241379,.69999999,6.6944447,1.0229886,.13793103,,,2.6663582,.011111111,.011494253,128,96,.75,1506,230,.15272245,179,58,24,3,.11885791,.015936255,.0019920319
IL CAMPIONE,6,.28424656,97.815605,491,138,483.78256,1370.5057,.2303665,.68965518,.68804663,7.0145774,.72505093,.12016293,.092696629,.053030305,1.8852944,.015706806,.034482758,334,241,.7215569,3314,587,.17712733,426,112,65,10,.12854557,.01961376,.0030175014
DISTINCTIV PASSION,5,.16049382,97.846481,87,26,485.03674,1019.1225,.57471263,.76666665,.76666665,5.9666667,.7011494,.091954023,.10810811,.023255814,1.4686868,0,0,57,35,.61403507,328,65,.19817074,61,1,8,0,.18597561,.024390243,0
FORTIFY,9,.14919356,103.97228,414,106,476.28519,1400.2844,.24573864,.67821783,.69715446,6.5203252,.69806761,.11594203,.1015873,.043062203,1.6713334,.024147727,.029702971,420,288,.6857143,4385,661,.15074116,645,212,100,23,.14709236,.022805016,.0052451538
FULL MAST,6,.33333334,94.709526,201,48,473.39557,1265.8635,.27536231,.74436092,.73557693,6.7307692,.62686568,.094527364,.10687023,.063063063,1.6036292,.010869565,.015037594,186,118,.63440859,1864,228,.1223176,167,37,23,5,.089592278,.012339056,.0026824034
PORTAL DEL ALTO,6,.35245901,88.697136,135,36,473.21866,1260.6221,.23934427,.62626261,.66171002,6.5315986,.51851851,.059259258,.10126583,.037974682,1.5412914,.0032786885,.01010101,210,141,.67142856,2686,301,.11206254,163,31,19,1,.060685035,.0070737158,.00037230083
CATCHER IN THE RYE,13,.24691358,97.292068,95,0,481.71777,1417.6222,.18997756,.56842107,.63350785,5.5654449,.46315789,.063157894,,,1.8352746,.012715033,.021052632,894,630,.70469797,11676,1440,.12332991,786,222,80,27,.067317575,.0068516615,.0023124358
HI HAPPY,4,.31578946,99.996384,260,82,470.43039,1443.0116,.18076923,.68539327,.68539327,6.1910114,.41153845,.065384619,.065384619,.023391813,1.0375584,.015384615,.02247191,117,62,.52991456,803,112,.13947695,107,23,17,4,.13325031,.021170611,.0049813199
SEÑOR CANDY,9,.22746781,96.502373,278,56,467.23343,1267.5336,.20185615,.66197181,.66101694,5.9830508,.40287769,.039568346,.014492754,.015748031,1.1300535,.0046403711,.0070422534,243,168,.69135803,2515,367,.14592445,203,44,20,3,.080715708,.0079522859,.001192843
KEY DEPUTY,13,.25925925,97.865341,41,3,491.22391,1102.1132,.51193058,.78947371,.77947599,7.6986899,.39024389,.048780486,0,.1,1.4108455,.015184382,0,363,273,.75206614,4412,740,.16772439,720,107,130,9,.1631913,.029465096,.0020398912
LE BLUES,7,.36936936,96.53289,246,74,471.0538,1176.9916,.2562674,.78703701,.77375567,7.3122172,.38617885,.089430891,.046153847,.038167939,1.3457069,.0083565461,.018518519,233,160,.68669528,2300,383,.16652174,226,65,42,12,.098260872,.01826087,.0052173915
DADDY LONG LEGS,4,.28346458,92.70237,298,104,451.96664,1378.4496,.27759197,.69306928,.69607842,6.1078429,.37248322,.063758388,.063973062,.029411765,.95281512,.010033445,.0099009899,143,70,.48951048,886,122,.13769752,112,27,19,3,.12641084,.021444695,.0033860046
CITYSCAPE,8,.29464287,96.302559,143,0,470.26151,1418.4589,.16284987,.64705884,.6855346,6.3018866,.36363637,.027972028,.020833334,.047619049,1.0192703,.012722646,.014705882,225,157,.69777775,2861,360,.12583013,280,56,33,5,.097867876,.011534428,.0017476407
LIZARD ISLAND,14,.22950819,94.040169,217,39,471.31396,1291.9561,.19829424,.62121212,.71864009,6.1172333,.359447,.059907835,.085271321,.048192769,.79292685,.0042643924,0,662,442,.66767371,7967,950,.11924187,412,90,57,5,.051713318,.0071545122,.00062758883
ENDORSEMENT,9,.26249999,96.516785,172,43,453.89575,1270.7693,.13063063,.60439563,.60606062,5.5206614,.35465115,.029069768,.016666668,.024390243,1.0737511,.0022522523,0,250,168,.67199999,3383,408,.12060302,183,55,18,1,.054093998,.0053207213,.00029559562
REMOTE,8,.26153848,100.75021,227,83,465.49261,1230.303,.21367522,.63736266,.62951809,5.1867471,.34801763,.039647575,.034285713,.016393442,1.1322017,.0064102565,0,291,194,.66666669,2841,465,.16367476,251,38,42,3,.088349171,.014783527,.0010559662
COSMIC TRIGGER,7,.23404256,96.021843,341,110,471.91235,1316.2515,.16561845,.61313868,.63736266,4.8937731,.34604105,.04105572,.040441178,.039325844,1.0115299,.01048218,.01459854,241,145,.60165977,2000,347,.1735,210,58,39,8,.105,.0195,.0040000002
SUGGESTIVE BOY,8,.33333334,99.092117,184,58,465.68939,1397.5447,.15963855,.66666669,.60924369,4.9873948,.34239131,.070652172,.0625,.032258064,1.0224211,.0060240962,.011111111,185,113,.61081082,1788,245,.13702461,166,31,27,2,.092841163,.015100671,.0011185682
SAFETY CHECK,6,.3359375,91.03875,193,49,464.52127,1232.0765,.13618676,.69911504,.6836158,6.7062149,.33678755,.020725388,0,.020408163,1.0252002,0,0,153,98,.6405229,1763,212,.12024958,86,3,5,0,.048780486,.0028360749,0
ORPEN,17,.2783505,104.25197,196,69,490.5741,1319.1635,.16286439,.66929132,.62425447,4.7819748,.32653061,.025510205,.014285714,.0071428572,1.0221066,.010773131,0,1025,724,.70634145,9989,1698,.16998699,952,224,156,28,.095304832,.015617179,.0028030833
LENOVO,7,.36046511,89.740036,153,37,472.38867,1114.3563,.13011153,.71111113,.66990292,5.6310678,.32026145,.084967323,.10526316,.079545453,1.1062789,.0037174721,0,163,93,.57055217,1594,191,.11982434,87,13,15,2,.054579675,.0094102882,.0012547051
BODEMEISTER,2,.22400001,103.20562,194,0,479.56079,1341.4961,.18041237,.73195875,.73195875,5.1855669,.31443298,.015463918,.01904762,.076190479,1.4268525,0,0,143,97,.67832166,1135,193,.17004405,61,12,3,0,.053744495,.0026431717,0
ANGIOLO,10,.2544643,95.379211,363,101,482.24969,1100.1671,.34640524,.76041669,.77272725,7.2727275,.30578512,.068870522,.086792454,.046153847,1.130495,.0039215689,.015625,546,364,.66666669,5933,781,.1316366,400,41,80,4,.067419522,.013483903,.00067419518
