name,padrillo,M,Dam_Mean_T3_BSN,Best_Foal_Bsn,mother,Momsiblings,uncles,M_age_at_birth,MomSib_Sibs_raced_at2y,MomSib_wnrs_STK_at2y,birth_eday,MomSib_wnrs3yo_at2y,sex,FathSibSTKWnrsPerOffs,FathSibSTKWnrShL4Gens,PS,PR,PRS,date,title,source,eday,auctionYear,auctionOrder,haras1,ageAtAuction,valueUSDB,pricePerBp,Sire_PS,f_STK_races_total_races,raced_won_g1_yn,cei_per_offs
EMOTIONS FOREVER,TREASURE BEACH (GB),MIXED EMOTIONS,101.83514,96.720757,-.078775942,.060590215,-.022804491,11.564384,2,0,14aug2016,0,2,0,0,,,,"15 aug, 2018",Resumen Venta Copa Agosto  Tattersall De Palermo,https://www.turfdiario.com/resumen-venta-copa-agosto-tattersall-de-palermo/,15aug2018,2018,17,Aitue,2.0027397,2352.9412,1270.9751,.21448882,.12195122,n-n-n,.75491327
IDEOCRATICA,REMOTE (GB),IDOCRASE,98.276093,122.01233,.11627471,-.076497905,.052475438,6.7506847,0,0,12jul2016,0,1,0,0,,,,"31 jul, 2018",Resumen Venta Invierno Haras Vacacion,https://www.turfdiario.com/resumen-venta-invierno-haras-vacacion/,31jul2018,2018,34,Vacacion,2.0520549,12398.158,3957.2456,.13561648,,n-n-n,
DIBABA,REMOTE (GB),DEBOUCHE,107.078,104.70417,.31320775,-.076497905,.050581068,5.9808221,0,0,21jul2016,0,1,0,0,,,,"31 jul, 2018",Resumen Venta Invierno Haras Vacacion,https://www.turfdiario.com/resumen-venta-invierno-haras-vacacion/,31jul2018,2018,36,Vacacion,2.0273972,8855.8271,2017.9285,.13454127,,y-y-n,
GRAN SABAYON,SABAYON,IMPRESIONABLE,70.44986,89.738953,-.049395859,-.024637647,-.014789842,10.917809,2,0,29jul2016,0,2,0,0,,,,"13 sep, 2018",Resumen Gran Venta Fallow Septiembre,https://www.turfdiario.com/resumen-gran-venta-fallow-septiembre/,13sep2018,2018,39,Las Camelias,2.1260273,1454.5454,539.82922,-.015708685,,n-n-n,.97997046
NOCHE DE BIRRAS,PURE PRIZE (USA),NOCHE DE ESTRELLAS,80.283615,109.25541,.084613413,-.076497905,.047279656,5.8657537,0,0,02aug2016,0,1,.035326086,.03163017,,,,"20 sep, 2018",Resumen Venta Productos Carampangue Y Santa Ines,https://www.turfdiario.com/resumen-venta-productos-carampangue-y-santa-ines/,20sep2018,2018,19,Carampangue,2.1342466,38839.98,14586.757,.22671166,.07053005,n-n-n,
SUGGESTIONS,SUGGESTIVE BOY,SAINTE CHAPELLE,92.688545,111.91679,.13402706,-.076497905,.047279656,8.0301371,0,0,30jul2016,0,1,0,0,,,,"20 sep, 2018",Resumen Venta Productos Carampangue Y Santa Ines,https://www.turfdiario.com/resumen-venta-productos-carampangue-y-santa-ines/,20sep2018,2018,28,Carampangue,2.1424658,7767.9961,2708.5835,.27097207,,y-n-n,0
MISS ORPEN,ORPEN (USA),MISS FOR SALE,101.34955,94.065735,.14110154,-.076497905,.025003493,8.0164385,0,0,07jul2016,0,1,.051630434,.036745407,,,,"20 sep, 2018",Resumen Venta Productos Carampangue Y Santa Ines,https://www.turfdiario.com/resumen-venta-productos-carampangue-y-santa-ines/,20sep2018,2018,16,Carampangue,2.2054794,4401.8643,1167.5233,.1803638,.10252075,y-n-n,0
BELL SCAPE,CITYSCAPE (GB),BELL TOP,,105.50372,.056979388,-.076497905,.028686792,5.7917809,0,0,04jul2016,0,1,.014925373,.014705882,,,,"26 sep, 2018",Resumen Gran Venta Primavera Haras Firmamento,https://www.turfdiario.com/resumen-gran-venta-primavera-haras-firmamento/,26sep2018,2018,45,Firmamento,2.2301369,9706.1914,2386.5581,.18550022,.16216215,n-n-n,
FLORETE DE ORO,SUGGESTIVE BOY,FLOR DE NOCHE,94.875343,,.084145725,-.076497905,.048063636,5.0027399,0,0,11aug2016,0,2,0,0,,,,"20 sep, 2018",Resumen Venta Productos Carampangue Y Santa Ines,https://www.turfdiario.com/resumen-venta-productos-carampangue-y-santa-ines/,20sep2018,2018,5,,2.1095891,8026.9292,3667.4167,.26980335,,n-n-n,
PINK DRESS,SUGGESTIVE BOY,PINK PONY,,127.34554,.076603115,.054182045,.026284799,8.8164387,1,0,06aug2016,0,1,0,0,,,,"20 sep, 2018",Resumen Venta Productos Carampangue Y Santa Ines,https://www.turfdiario.com/resumen-venta-productos-carampangue-y-santa-ines/,20sep2018,2018,21,Carampangue,2.1232877,7767.9961,2388.9146,.27028972,,n-n-n,.77544445
