name,padrillo,yegua,genre,criador,auctionOrder,year,value,valueUSDB,p1,p2,p1_p2,eday,birth_eday
EPINICIA,EASING ALONG (USA),EXPRESS TIME,Hembra,Avourneen,6,2019,5600000,129779.836,0.8335924,0.026597831,0.02217175,2019-03-31,2017-08-18
FORZA NATURAL,COSMIC TRIGGER,FANCY LEGS,Hembra,Abolengo,10,2023,197000,103448.04,0.6149743,0.025886979,0.015919827,2023-03-28,2021-07-15
NOS MIRAMOS FIJO,TREASURE BEACH (GB),FORMALIZADITA,Hembra,Juan Antonio,5,2023,210000,99768.99,0.6393694,0.02694682,0.017228972,2023-05-16,2021-09-30
VALE FORTY,FORTIFY (USA),VALERY FULL,Hembra,La Madrina,13,2023,183000,98710.48,0.3320433,0.025223045,0.008375143,2023-04-04,2021-10-10
EL GRAN CAMPIONE,IL CAMPIONE (CHI),CALLING YOU,Macho,El Paraiso,2,2021,155000,96251.89,0.74391186,0.101206325,0.07528859,2021-04-24,2019-10-21
JOY ROSITA,FORTIFY (USA),THE ROSY,Hembra,Vacacion,2,2020,125000,94122.43,0.65992254,0.15112732,0.099732324,2020-03-15,2018-07-20
GOODNIGHT KISS,UNCLE MO (USA),STORMY KISS,Hembra,El Chanar,11,2019,95000,92914.96,0.6413423,0.055257473,0.035438955,2019-05-15,2017-10-05
BIEN BOHEMIO,COSMIC TRIGGER,ISMELDA,Macho,Juan Antonio,1,2024,100000,89949.234,0.56486356,0.06267634,0.03540358,2024-04-09,2022-08-13
SPEEDMASTER,FORTIFY (USA),STAY IN THE GLORY,Macho,Vacacion,7,2024,105000,89948.27,0.756345,0.12792908,0.096758515,2024-03-21,2022-09-15
JOLLY BOY,DADDY LONG LEGS (USA),JOLLY SONG,Macho,El Chanar,4,2023,164000,88696.266,0.76807916,0.06347913,0.048756998,2023-04-11,2021-08-27
QUINTIN STRIPES,EQUAL STRIPES,QUENDOM,Macho,Santa Ines,1,2019,90000,88024.695,0.5374772,0.06405214,0.034426566,2019-05-15,2017-08-27
AMERICAN PSYCHO,BODEMEISTER (USA),AMERICAN WHISPER (USA),Macho,La Pasion,26,2022,152000,87995.164,0.8292088,0.0779813,0.06466278,2022-04-29,2020-10-30
SACHI,COSMIC TRIGGER,SA TALAIA,Hembra,Abolengo,6,2024,100000,85615.766,0.6423718,0.12261554,0.07876476,2024-03-20,2022-08-08
EL MADRUGADOR,IL CAMPIONE (CHI),AWAKENING,Macho,El Paraiso,12,2024,100000,85480.766,0.77763444,0.12024132,0.093503796,2024-04-28,2022-07-18
INCONMENSURABLE,COSMIC TRIGGER,MINT BROWNIE (USA),Hembra,Juan Antonio,28,2023,190000,84965.3,0.46263057,0.0320006,0.014804456,2023-04-25,2021-08-02
PUERTO BANUS,FORTIFY (USA),PAPERLATE,Macho,Vacacion,15,2024,99000,84808.375,0.7126997,0.08254301,0.058828376,2024-03-21,2022-07-15
EL OJO DEL HURACAN,IL CAMPIONE (CHI),INTERDRUIDA,Macho,El Paraiso,22,2023,170000,83684.57,0.786118,0.13075326,0.10278749,2023-04-23,2021-10-17
ANGELIC CHAMP,CIMA DE TRIOMPHE (IRE),ANGELIC AIR (GB),Hembra,La Leyenda,8,2023,150000,81124.63,0.5752667,0.056643363,0.032585043,2023-04-11,2021-09-08
NIGH ORO,ORPEN (USA),STORMY NINGUNA,Hembra,La Biznaga,58,2018,2400000,80402.01,0.6744784,0.06607621,0.044566978,2018-08-17,2016-10-18
BAMBA DE ARECO,FORTIFY (USA),BAMBA LINDA,Hembra,Abolengo,2,2022,135000,78962.37,0.6127639,0.08777956,0.053788144,2022-05-22,2020-08-11
THE GOAT,FORTIFY (USA),QUE PIENSA CAT,Macho,Vacacion,17,2023,150000,78767.55,0.7955645,0.17965057,0.14292361,2023-03-28,2021-07-07
COOL GUY,COSMIC TRIGGER,COOL SITE,Macho,Abolengo,2,2024,92000,78766.51,0.6690611,0.09079943,0.06075037,2024-03-20,2022-08-10
EL PONIENTE,IL CAMPIONE (CHI),ALAMALHUA,Macho,El Paraiso,21,2023,160000,78761.945,0.78217477,0.12450082,0.0973814,2023-04-23,2021-09-10
ETERNAL OPTIMIST,IL CAMPIONE (CHI),EXPRESSLY (IRE),Macho,El Paraiso,6,2024,92000,78642.305,0.89839876,0.09382806,0.08429501,2024-04-28,2022-08-01
EL SIN VERGUENZA,IL CAMPIONE (CHI),I GUESS,Macho,El Paraiso,8,2024,90000,76932.69,0.77999353,0.14114211,0.110089935,2024-04-28,2022-08-17
EARLY MOMENT,FORTIFY (USA),ELMIRA,Macho,Vacacion,37,2023,145000,76141.96,0.78053445,0.1005452,0.07847899,2023-03-28,2021-08-09
SAFE WITH ME,FORTIFY (USA),SA TALAIA,Hembra,Abolengo,6,2023,145000,76141.96,0.7417992,0.19700202,0.14613594,2023-03-28,2021-08-08
EL QUE SABE,IL CAMPIONE (CHI),INTER ESPERADA,Macho,El Paraiso,5,2022,130000,75318.94,0.81986713,0.10468646,0.08582899,2022-05-01,2020-09-24
ESTILO PROPIO,FORTIFY (USA),EMELINE,Macho,Vacacion,3,2023,142000,74566.61,0.7707257,0.16528143,0.12738664,2023-03-28,2021-10-02
SAINT LOCKET,TREASURE BEACH (GB),STORMY FLO,Hembra,Orilla Del Monte,1,2018,72000,74359.26,0.5042143,0.02044326,0.010307784,2018-12-07,2016-11-02
EL LUCIANO,IL CAMPIONE (CHI),ILLA TICSI,Macho,El Paraiso,34,2023,150000,73839.33,0.8085297,0.09833403,0.07950598,2023-04-23,2021-08-23
BERNICIO,FORTIFY (USA),BABBY CRUSH,Macho,Vacacion,5,2023,140000,73516.375,0.7590409,0.1703966,0.12933798,2023-03-28,2021-08-19
ES GENIAL,EQUAL STRIPES,EPOCA BUENA,Hembra,Abolengo,1,2024,85000,72773.4,0.43179128,0.04277827,0.018471284,2024-03-20,2022-08-25
ENGLISH HUMOR,IL CAMPIONE (CHI),PERMIT,Macho,El Paraiso,1,2024,85000,72658.65,0.9040496,0.097561,0.08819998,2024-04-28,2022-07-04
DESAFIAME,EQUAL STRIPES,DESEMPEÑADA,Hembra,Abolengo,47,2021,111000,72425.94,0.64524287,0.063515805,0.04098312,2021-03-29,2019-08-08
MILAN TEAM,EQUAL STRIPES,MILAN HILL,Macho,Santa Ines,4,2023,150000,72227.69,0.5470975,0.06800437,0.03720502,2023-05-03,2021-10-21
GREAT FIGHT,EQUAL STRIPES,GREEN RYE,Hembra,Abolengo,8,2024,84000,71917.24,0.5805384,0.07398442,0.042950798,2024-03-20,2022-08-14
QUEEN SIENNA,FORTIFY (USA),GAMUZA FINA,Hembra,Abolengo,3,2022,130000,71551.77,0.714624,0.19535838,0.13960779,2022-03-27,2020-08-05
TWEEDY TRIGGER,COSMIC TRIGGER,BEAUTY BABE,Macho,Juan Antonio,1,2023,150000,71263.56,0.63221365,0.024986278,0.015796667,2023-05-16,2021-08-23
