rank,name,padrillo,M,PRS,PR,PS,Sire_Stk_Wnrs_Rnrs,MomSib_Sibs_at2y,Dam_Mean_T3_BSN,Dam_Raced_STK,Dam_Placed_STK,Dam_Total_Rcs,Best_Foal_Bsn,Best_Foal_Raced_Stk,Best_Foal_Placed_Stk,Dam_Sib_Total_G1G2,DamSibs_G1G2_Total,PRS_Value,ownCharac,father,Fathsiblings,mother,Momsiblings,uncles,maternalParents,inbreedingCoefficient,M_age_at_birth,M_season,MomSib_Sibs_raced_at2y,MomSib_wnrs_STK_at2y,MSib_STK_won_at2y,MSib_mean_cumAEI_at2y,studbook_id,birth_month,criador_PRS,criador_PR,criador_PS,criador,offs_stk_rnrs,offs_stk_wnrs,sire_ps,birth_eday,MomSib_wnrs3yo_at2y,FathSib_runshare_3yo,sex,Dam_Won_G1_STK,Dam_Won_STK,FathSibSTKWnrsPerRnr,FathSibSTKWnrsPerOffs,MSib_StkWnrs_Offs,FathSib_STKWinnersLast4Gens,FathSibSTKWnrShL4Gens,lote,haras,link,start,end_date,f_STK_races_total_races,raced_won_g1_yn,cei_per_offs
1059,AFRO HOUSE,UNCLE CHUCK (USA),ALBINIA,.019240445,.69863999,.027539857,.045763995,3,107.43984,No,No,10,73.905251,YES,YES,1,.16666667,4232.8979,.0050259829,.17693698,-.044087578,.080738664,.24096306,-.022301808,.0069727316,.0419418365199817,10.947946,6,1,0,1,1.1984503,443339,9,0,.625,0,Las Retamas,0,0,.13284941,06sep2023,0,0,2,0,0,0,0,0,0,0,31,La Pasión e Invitados,https://www.fallowremates.com/remates/10,2025-06-26 13:00:00,2025-06-26 23:00:00,,n-n-n,2.3969007
144,ALGO DIFERENTE,FORTIFY (USA),ALBERETA,.041492969,.7316587,.056710828,.13122173,2,105.64335,No,No,10,72.511383,No,No,0,0,9128.4531,.2084752,.010020025,.39032814,.12121011,-.023066558,.065670304,.0069727316,.0349410609996994,9.9890413,5,1,0,0,.16480844,442099,8,.021922439,.67310011,.03256936,Vacacion,0,0,.40034816,04aug2023,0,.55909091,2,0,0,.13181818,.080221303,0,31,.074879229,1,VACACIÓN,https://arg-sales.com/remates/view/351,03-07-2025,06-07-2025,.14814,n-n-n,1.0712548
1173,ALMAS GEMELAS,UNCLE CHUCK (USA),ANE ALAIA,.017826242,.56116736,.031766355,.045763995,5,14.558807,No,No,2,79.912979,No,No,0,0,3921.7734,.18097666,.17693698,-.044087578,-.040675689,.042813823,.025335953,.0069727316,.0338175547076389,12.920547,9,2,0,0,.07750117,443815,8,.021922439,.67310011,.03256936,Vacacion,0,0,.13284941,19aug2023,0,0,1,0,0,0,0,0,0,0,29,VACACIÓN,https://arg-sales.com/remates/view/351,03-07-2025,06-07-2025,,n-n-n,.68201035
767,ALMOFALA,SEÑOR CANDY (USA),A DAY IN LIFE,.023019889,.66103625,.034823943,.047058824,1,106.75247,Yes,Yes,15,92.289047,No,No,0,0,5064.3755,.13742974,-.12531514,.064218514,.067248181,-.026854541,.030342974,.046897903,.0211591921142826,8.9260273,4,1,0,0,.1426302,442403,7,.046257894,.7330097,.063106798,Carampangue,0,0,-.061096631,13jul2023,0,.51574802,1,0,0,.043307088,.025462963,0,8,.028776979,11,CARAMPANGUE,https://arg-sales.com/remates/view/355,12-07-2025,15-07-2025,.080167174,y-n-n,1.4263021
699,AMAPOLA,FORGE (GB),AMITAI,.024199888,.63404638,.03816738,.034883723,1,108.65225,No,No,7,71.254051,No,No,0,0,5323.9756,.043543458,.010020025,.019184353,.19058976,-.064518794,.049998239,.0069727316,.0194592971856764,8.9095888,4,0,0,0,.12314658,443401,8,.046257894,.7330097,.063106798,Carampangue,0,0,.029204378,21aug2023,0,.53488374,1,0,0,.023255814,.012578616,0,3,.02,32,CARAMPANGUE,https://arg-sales.com/remates/view/355,12-07-2025,15-07-2025,.078369908,n-n-n,.98517263
2357,AMIGO IMPARABLE,ANGIOLO,IDIALA,.0094944574,.60377198,.015725236,.059459459,0,,No,No,0,,No,No,0,0,2088.7805,.036321402,.019550644,.077491328,-.040675689,-.064518794,.082127869,.0069727316,.0461754086027213,6.0876713,3,0,0,0,.28346449,443076,8,0,.68181819,0,Marletta Leandro Guido De La Cruz,0,0,.097041972,24aug2023,0,.62522525,2,0,0,.057657659,.040506329,0,10,.027548209,33,La Pasión e Invitados,https://www.fallowremates.com/remates/10,2025-06-26 13:00:00,2025-06-26 23:00:00,.067511939,n-n-n,
2297,BABY TALK,LE BLUES,BELLEZA COTIDIANA,.0098057715,.57104778,.017171543,.06530612,0,,No,No,0,,No,No,0,,2157.2698,.056316674,-.089098692,.10809137,-.040675689,-.064518794,.058432922,.0069727316,.0254857381223701,5.2712331,1,0,0,0,0,447203,10,.021922439,.67310011,.03256936,Vacacion,0,0,.018992677,26oct2023,0,.52439022,2,0,0,.060975611,.034965035,0,7,.028455285,19,VACACIÓN,https://arg-sales.com/remates/view/351,03-07-2025,06-07-2025,.097902097,n-n-n,
2378,BEACH HEAVEN,BACKYARD HEAVEN (USA),VERDANA BEACH,.0094105471,.52894354,.017791213,.045763995,0,86.30072,No,No,33,,No,No,0,,2070.3203,.10613433,.17693698,-.058300748,-.028411612,-.064518794,.0050397888,.046897903,.0408738251499017,6.9671235,1,0,0,0,0,447282,7,0,.48076922,0,Moscon Santo Hector,0,0,.11863624,26jul2023,0,0,2,0,0,0,0,0,0,0,25,La Pasión e Invitados,https://www.fallowremates.com/remates/10,2025-06-26 13:00:00,2025-06-26 23:00:00,,n-n-n,
2849,BELLECHASSE,UNCLE CHUCK (USA),LOVE YOUR SMILE,.0075933621,.47798586,.015886165,.045763995,0,81.490692,No,No,5,,No,No,0,,1670.5397,.043543458,.17693698,-.044087578,-.0093470328,-.064518794,.028961085,.0069727316,.0554094727267511,5.9342465,1,0,0,0,0,444924,8,.014792901,.76923078,.01923077,Haras Embrujo S.A.,0,0,.13284941,21aug2023,0,0,1,0,0,0,0,0,0,0,30,VACACIÓN,https://arg-sales.com/remates/view/351,03-07-2025,06-07-2025,,n-n-n,
696,BELLEZA URUGUAYA,UNCLE CHUCK (USA),BELLEZA ROMANA,.024338752,.58078289,.0419068,.045763995,4,102.39017,YES,YES,15,99.168068,Yes,No,0,0,5354.5254,.089314878,.17693698,-.044087578,.21228267,.038887836,.049268574,.0069727316,.0432161661301507,11.073973,6,2,0,0,.19294548,445624,10,.021922439,.67310011,.03256936,Vacacion,0,0,.13284941,08oct2023,0,0,1,0,0,0,0,0,0,0,35,VACACIÓN,https://arg-sales.com/remates/view/351,03-07-2025,06-07-2025,,y-n-n,1.3988547
