rank,M_M_pairs,PBRS,PB,PR,PS,highInbreedingPadrillos,inbreedingCoefficient,mother,Momsiblings,uncles,maternalParents,M_age_at_service,M_season_orig,birthRate,birthRateLast3,hadRestYear,M_total_rcs,M_won_rcs,M_cumAEI,M_STK_ran,M_STK_won,M_g1_STK_placed,M_g1_STK_won,MomSib_Sibs_at2y,MomSib_Sibs_exp_at2y,MomSib_Sibs_raced_at2y,MomSib_wnrs_STK_at2y,MSib_total_rcs_at2y,MSib_wSh_at2y,STK_races_total_races,MSib_STK_won_at2y,MSib_g1_STK_ran_at2y,MSib_g1_STK_won_at2y,MSib_g2_STK_won_at2y,MSib_sum_cumAEI_at2y,MSib_mean_cumAEI_at2y,MomMUnc_Sibs_at2y,MomMUnc_Sibs_raced_at2y,MomMUnc_wnrs_STK_at2y,MMUnc_total_rcs_at2y,MMUnc_wsh,MMUnc_STK_ranSh,MMUnc_g1_STK_ranSh,MMUnc_STK_won_at2y,MMUnc_g1_STK_won_at2y,MMUnc_g2_STK_won_at2y,MMUnc_mean_cumAEI_at2y,MomFUnc_Sibs_at2y,MFUnc_total_rcs_at2y,MFUnc_wsh,MFUnc_STK_ranSh,MFUnc_g1_STK_ranSh,MFUnc_STK_wSh,MFUnc_g1_wSh,MFUnc_mean_cumAEI_at2y,M_M_Races,M_M_Wins,M_M_STK_ran,M_M_cumAEI,MSib_STKWnrs_Offs,Dam_Mean_T3_BSN,Dam_Total_Rcs,Best_Foal_Bsn,Dam_Sib_Total_G1G2,DamSibs_G1G2_Total,Dam_Raced_STK,Dam_Placed_STK,Best_Foal_Raced_Stk,Best_Foal_Placed_Stk,birth_eday,name_clean,padrillo_clean,M_clean,lote,haras,link,start,end_date
502,1,.01143683,.33454448,.74617976,.045292925,,0,-.10473283,-.028728701,-.017011087,-.086363927,5.8273973,2,0,0,0,5,0,1.168083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,10,.1,0,0,0,0,0,.19835244,324,1128,.13829787,.080673762,.013297873,.014184397,.0017730496,.22950847,3,0,0,.041560508,0,97.197029,5,0,0,0,No,No,No,No,02jul2026,adorada delia,daniel boone,safira azul,29,ABOLENGO,https://arg-sales.com/remates/view/347,27-04-2025,30-04-2025
454,1,.01426391,.33636019,.80534571,.052094787,,.0377176355047238,-.043496549,-.028728701,.020240605,-.11659703,6.8191781,1,0,0,0,3,1,.49048847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,35,.2,.028571429,0,0,0,0,.31723729,773,5879,.13114475,.06769859,.0069739753,.012757272,.00068038784,.20080109,3,1,0,1.3757156,0,69.333138,3,0,0,0,No,No,No,No,02jul2026,altivez pagana,angiolo,forever wild,32,Fallow Latinoamericano,https://www.fallowremates.com/plataforma-remates/clientes/remates/listado/116,16-04-2025,16-04-2025
361,1,.018175147,.40260249,.77206403,.057918884,,.0372616016644055,-.020760257,-.061256122,.055662997,-.089210153,11.813699,8,1,1,0,12,2,4.0516868,1,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,10,7,0,79,.088607594,.025316456,.012658228,0,0,0,.14870995,523,4704,.14753401,.093112245,.022534013,.015093537,.0014880953,.24961467,7,1,0,1.7276757,0,96.60434,12,99.013298,0,0,YES,YES,Yes,No,02jul2026,amazonita,exchange rate,potra amazona,11,LA GENERACIÓN,https://arg-sales.com/remates/view/356,08-05-2025,11-05-2025
342,1,.019049676,.34530836,.80430996,.068083011,,.0356287275725393,-.037424278,-.028728701,.0010760017,.028108224,4.8520546,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,0,.028764438,855,5746,.1413157,.068917505,.017577445,.010790115,.0029585799,.2525678,28,5,12,21.878298,0,,0,0,0,0,No,No,No,No,02jul2026,angerona,hurricane cat,always ruler,3,Fallow Latinoamericano,https://www.fallowremates.com/plataforma-remates/clientes/remates/listado/116,16-04-2025,16-04-2025
425,1,.01594851,.34509254,.81464565,.05619818,,0,-.10473283,-.028728701,.020240605,-.017550893,5.7780824,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,59,.16949153,.016949153,0,0,0,0,.15825033,773,5878,.1313372,.067710109,.0069751618,.012759442,.00068050355,.2009187,9,4,1,3.3016472,0,33.667618,4,0,0,0,No,No,No,No,02jul2026,arca de noe,angiolo,tatoo you,33,Fallow Latinoamericano,https://www.fallowremates.com/plataforma-remates/clientes/remates/listado/116,16-04-2025,16-04-2025
451,1,.014746808,.37916631,.78610277,.048990566,,0,-.037424278,-.061256122,-.0077691339,-.092339464,4.7753425,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,0,49,.18367347,.020408163,.020408163,0,0,0,.23386081,1482,8938,.16871783,.085253969,.027411055,.0083911391,.0038039831,.31465682,11,2,2,3.1346822,0,,0,0,0,0,No,No,No,No,02jul2026,as we speak,equal stripes,asperges,6,ABOLENGO,https://arg-sales.com/remates/view/347,27-04-2025,30-04-2025
447,1,.014976832,.34303126,.81033927,.05332265,,.0357618623451412,.0035423152,.017639119,-.0027921572,-.1831713,13.89589,10,.71428573,1,0,11,3,3.5117254,0,0,0,0,3,1,1,0,62,.17741935,.048387095,0,0,0,0,15.63726766034961,.25221398,8,4,0,68,.05882353,0,0,0,0,0,.062808491,1110,11284,.11777738,.056097127,.01426799,.0066465791,.0017724212,.20167466,7,1,0,1.1753378,0,95.44973,11,105.20921,0,0,No,No,No,No,02jul2026,azarella,not for sale,april fizz,7,LA GENERACIÓN,https://arg-sales.com/remates/view/356,08-05-2025,11-05-2025
406,1,.016324086,.3353689,.78386992,.061480261,,.0338015976890347,-.10473283,.082124844,-.011277985,-.051294655,12.835616,9,.83333331,.66666669,0,4,0,.70891416,0,0,0,0,4,0,2,0,9,.22222222,0,0,0,0,0,1.46419907733798,.16268879,15,11,1,125,.12800001,.039999999,0,1,0,1,.20761293,944,7940,.11926952,.05188917,.011335013,.0071788412,.0006297229,.17916022,0,0,0,0,0,76.817238,4,96.889214,0,0,No,No,No,No,02jul2026,baby way,lizard island,baby glove,30,ABOLENGO,https://arg-sales.com/remates/view/347,27-04-2025,30-04-2025
496,1,.01202486,.35289326,.79373074,.042492896,,0,-.10473283,-.028728701,-.047521267,-.086363927,4.9863014,1,0,0,0,2,0,.02985646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,7,0,0,0,0,0,0,.20038566,193,1106,.16998191,.05153707,.01084991,.0018083183,0,.24294156,1,1,0,1.0485339,0,,2,0,0,0,No,No,No,No,02jul2026,bambina birichina,bodemeister,bamboocha,43,Fallow Latinoamericano,https://www.fallowremates.com/plataforma-remates/clientes/remates/listado/116,16-04-2025,16-04-2025
504,1,.011383743,.41745877,.71806234,.037527695,,0,-.037424278,-.061256122,-.055623971,-.1714002,6.8739724,5,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,33,0,0,0,0,0,0,.035319753,38,193,.098445594,.005181347,0,0,0,.14175558,0,0,0,0,0,,0,0,0,0,No,No,No,No,02jul2026,bet on gold,gold gulch,be so nice,22,Fallow Latinoamericano,https://www.fallowremates.com/plataforma-remates/clientes/remates/listado/116,16-04-2025,16-04-2025
402,1,.016507057,.34231594,.76650101,.062257428,,0,-.0054806136,-.028728701,.041838966,-.086363927,6.7232876,1,0,0,0,12,3,2.1959975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,13,.61538464,.23076923,.15384616,0,0,0,.98609865,335,1826,.1007667,.044359256,.009309967,.0082146768,.0010952903,.17769222,0,0,0,0,0,96.536957,12,0,0,0,No,No,No,No,02jul2026,bionic woman,john f kennedy,ismelda,21,Fallow Latinoamericano,https://www.fallowremates.com/plataforma-remates/clientes/remates/listado/116,16-04-2025,16-04-2025
368,1,.017981775,.31609184,.81827134,.068841241,,.0422895744023403,-.055106722,-.028728701,-.045776226,.10311888,9.8438358,2,0,0,0,40,5,7.7675867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,0,72,.055555556,.013888889,0,0,0,0,.10960841,397,3671,.086897306,.033778261,.00817216,.0013620267,.0010896213,.13719988,2,1,0,.5506953,0,106.19514,40,0,0,0,No,No,No,No,02jul2026,bombon queen,sixties icon,runway queen,21,LA GENERACIÓN,https://arg-sales.com/remates/view/356,08-05-2025,11-05-2025
511,1,.010562549,.32514697,.76615548,.041869212,,.0438546284655916,-.10473283,-.061256122,-.0010188445,-.10735504,8.9863014,5,.66666669,.5,0,2,0,.1071241,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,54,.16666667,.11111111,.037037037,0,0,0,.3251687,1482,8936,.16875559,.08527305,.027417189,.0083930166,.0038048343,.31471527,5,1,0,1.2147,0,83.11087,2,0,0,0,No,No,No,No,02jul2026,boudicea,equal stripes,boudica,9,ABOLENGO,https://arg-sales.com/remates/view/347,27-04-2025,30-04-2025
410,1,.016214821,.35588449,.78191286,.05777302,,.0363408847494308,-.10473283,-.028728701,-.0020487532,.013834015,4.8246574,1,0,0,0,2,0,.028409092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,30,.033333335,.06666667,.033333335,0,0,0,.083715498,371,1813,.12355212,.077771649,.012686156,.010479867,.00055157195,.19831692,0,0,0,0,0,55.542484,2,0,0,0,No,No,No,No,02jul2026,briol hit,hit it a bomb,cambriole glory,28,Fallow Latinoamericano,https://www.fallowremates.com/plataforma-remates/clientes/remates/listado/116,16-04-2025,16-04-2025
