Lote,name,Haras,padrillo,M,link,Start,End
1,ECOGRAFICO RIM,FIRMAMENTO,REMOTE,ECOGRAFICA,https://antoniobullrich.com/remates/venta-training-haras-firmamento-19h/lotes,25/08/2025,25/08/2025
2,BLUCLETTE RIM,FIRMAMENTO,REMOTE,BOUCLETTE HOLIDAY,https://antoniobullrich.com/remates/venta-training-haras-firmamento-19h/lotes,25/08/2025,25/08/2025
3,GIA GIA RIM,FIRMAMENTO,REMOTE,PERUGIA GULCH,https://antoniobullrich.com/remates/venta-training-haras-firmamento-19h/lotes,25/08/2025,25/08/2025
4,TEMPLE BLACK,FIRMAMENTO,SEAHENGE,SHIRLEY TEMPLE,https://antoniobullrich.com/remates/venta-training-haras-firmamento-19h/lotes,25/08/2025,25/08/2025
5,REVIVILA,FIRMAMENTO,REMOTE,VIVILA BIEN,https://antoniobullrich.com/remates/venta-training-haras-firmamento-19h/lotes,25/08/2025,25/08/2025
6,POTRI BOMB,FIRMAMENTO,HIT IT A BOMB,POTRI CHECK,https://antoniobullrich.com/remates/venta-training-haras-firmamento-19h/lotes,25/08/2025,25/08/2025
7,LOGAN,FIRMAMENTO,REMOTE,POTRI CHECK,https://antoniobullrich.com/remates/venta-training-haras-firmamento-19h/lotes,25/08/2025,25/08/2025
8,EMMA HAPPY,FIRMAMENTO,HI HAPPY,EMERIT CELEBRE,https://antoniobullrich.com/remates/venta-training-haras-firmamento-19h/lotes,25/08/2025,25/08/2025
9,VITAMINA HIT,FIRMAMENTO,HIT IT A BOMB,VITAMINA CAT,https://antoniobullrich.com/remates/venta-training-haras-firmamento-19h/lotes,25/08/2025,25/08/2025
10,VALDOBBIA HIT,FIRMAMENTO,HIT IT A BOMB,VALDOBBIA,https://antoniobullrich.com/remates/venta-training-haras-firmamento-19h/lotes,25/08/2025,25/08/2025
11,HIT SONG,FIRMAMENTO,HIT IT A BOMB,SING A LOVE SONG,https://antoniobullrich.com/remates/venta-training-haras-firmamento-19h/lotes,25/08/2025,25/08/2025
1,TAMPA CAMP,ORILLA DEL MONTE,IL CAMPIONE,TAMPA DREAM,https://antoniobullrich.com/remates/copa-bullrich-agosto-14h/lotes,28/08/2025,28/08/2025
2,LA MAQUINOLA,LA PASIÓN,GOUVERNEUR MORRIS,LUCKY MAMMA,https://antoniobullrich.com/remates/copa-bullrich-agosto-14h/lotes,28/08/2025,28/08/2025
3,SERENA FE,EL CHAÑAR,DADDY LONG LEGS,CEDAR GROVE,https://antoniobullrich.com/remates/copa-bullrich-agosto-14h/lotes,28/08/2025,28/08/2025
4,ROJO ARGENTINO,FERRE,SEÑOR CANDY,DE ROJO CARMESI,https://antoniobullrich.com/remates/copa-bullrich-agosto-14h/lotes,28/08/2025,28/08/2025
5,RABO DE JUNCO,LA PASIÓN,GOUVERNEUR MORRIS,RAIZGUANA,https://antoniobullrich.com/remates/copa-bullrich-agosto-14h/lotes,28/08/2025,28/08/2025
6,PRETTY DARLING,EL CHAÑAR,TREASURE BEACH,CRAZY FOR YOU,https://antoniobullrich.com/remates/copa-bullrich-agosto-14h/lotes,28/08/2025,28/08/2025
7,ZOYKA KIIN HA,LA CAÑADA,SEÑOR CANDY,WILLKA CAT,https://antoniobullrich.com/remates/copa-bullrich-agosto-14h/lotes,28/08/2025,28/08/2025
8,TODOS ESCUCHEN,FERRE,IL CAMPIONE,WAN ZUN KEY,https://antoniobullrich.com/remates/copa-bullrich-agosto-14h/lotes,28/08/2025,28/08/2025
9,FIRENZE BEACH,ESTABLECIMIENTO MARIANA EVA,TREASURE BEACH,GRAN TOSCANA,https://antoniobullrich.com/remates/copa-bullrich-agosto-14h/lotes,28/08/2025,28/08/2025
10,MUJERES POPULARES,FERRE,UNCLE CHUCK,ATENCION PUBLICA,https://antoniobullrich.com/remates/copa-bullrich-agosto-14h/lotes,28/08/2025,28/08/2025
10.2,HURACAN DE ARECO,PARQUE PATRICIOS,IL CAMPIONE,KATRINA INC,https://antoniobullrich.com/remates/copa-bullrich-agosto-14h/lotes,28/08/2025,28/08/2025
11,FOLK MUSIC,EL CHAÑAR,PNEUMATIC,SOUND MUSIC,https://antoniobullrich.com/remates/copa-bullrich-agosto-14h/lotes,28/08/2025,28/08/2025
11.2,SU MAJESTAD,PARQUE PATRICIOS,COSMIC TRIGGER,DONDE SERAS REINA,https://antoniobullrich.com/remates/copa-bullrich-agosto-14h/lotes,28/08/2025,28/08/2025
12,PUNY JOY,ORILLA DEL MONTE,ROMAN JOY,PUNKY CATCHER,https://antoniobullrich.com/remates/copa-bullrich-agosto-14h/lotes,28/08/2025,28/08/2025
13,INVENTO ARGENTINO,FERRE,UNCLE CHUCK,INCULCADA,https://antoniobullrich.com/remates/copa-bullrich-agosto-14h/lotes,28/08/2025,28/08/2025
14,RABIETA KIIN HA,LA CAÑADA,SOVEREIGN,RAVELLA,https://antoniobullrich.com/remates/copa-bullrich-agosto-14h/lotes,28/08/2025,28/08/2025
15,SIR CHARLES,DOÑA PANCHA,UNCLE CHUCK,GRAN FIGURITA,https://antoniobullrich.com/remates/copa-bullrich-agosto-14h/lotes,28/08/2025,28/08/2025
16,INVINCIBLE ORPEN,ESTABLECIMIENTO MARIANA EVA,EMOTION ORPEN,IMAGINADORA,https://antoniobullrich.com/remates/copa-bullrich-agosto-14h/lotes,28/08/2025,28/08/2025
17,CHOLO GUILLERMO,FERRE,LIZARD ISLAND,PRADA STAR,https://antoniobullrich.com/remates/copa-bullrich-agosto-14h/lotes,28/08/2025,28/08/2025
18,LIDA,LA LEYENDA,NICHOLAS,LA BUSANDA,https://antoniobullrich.com/remates/copa-bullrich-agosto-14h/lotes,28/08/2025,28/08/2025
19,LENGUAJE KAKAN,FERRE,LIZARD ISLAND,STAY COOL,https://antoniobullrich.com/remates/copa-bullrich-agosto-14h/lotes,28/08/2025,28/08/2025
20,COOL FRANCIS,ESTABLECIMIENTO MARIANA EVA,COOL DAY,POR TI SI,https://antoniobullrich.com/remates/copa-bullrich-agosto-14h/lotes,28/08/2025,28/08/2025
21,FUEGO IMPONENTE,FERRE,SEAHENGE,AIR FIVE,https://antoniobullrich.com/remates/copa-bullrich-agosto-14h/lotes,28/08/2025,28/08/2025
22,HEROE CON GLORIA,LA GRINGA,MARCONI,OPEN STAR,https://antoniobullrich.com/remates/copa-bullrich-agosto-14h/lotes,28/08/2025,28/08/2025
23,MR JOY BOY,ORILLA DEL MONTE,ROMAN JOY,MEET CATCHER,https://antoniobullrich.com/remates/copa-bullrich-agosto-14h/lotes,28/08/2025,28/08/2025
24,EMPERADOR BRAVO,FERRE,IMPERADOR,BARBARA BREW,https://antoniobullrich.com/remates/copa-bullrich-agosto-14h/lotes,28/08/2025,28/08/2025
25,SCRATCHING,LA LEYENDA,LUCULLAN,SCAT SCRATCH FEVER,https://antoniobullrich.com/remates/copa-bullrich-agosto-14h/lotes,28/08/2025,28/08/2025
25.2,TORTONI,PARQUE PATRICIOS,MARCONI,ELLIS ISLAND,https://antoniobullrich.com/remates/copa-bullrich-agosto-14h/lotes,28/08/2025,28/08/2025
26,BAYO TALENT,EGALITE DE 9,EQUAL TALENT,BASHA GIRL,https://antoniobullrich.com/remates/copa-bullrich-agosto-14h/lotes,28/08/2025,28/08/2025
27,REY SANDINO,EGALITE DE 9,SANDINO RULER,SU REINADO,https://antoniobullrich.com/remates/copa-bullrich-agosto-14h/lotes,28/08/2025,28/08/2025
27.2,DARUMA,LA LEYENDA,NICHOLAS,DOWNHILL DANCER,https://antoniobullrich.com/remates/copa-bullrich-agosto-14h/lotes,28/08/2025,28/08/2025
28,COOL ROMANO,ESTABLECIMIENTO MARIANA EVA,COOL DAY,INDIA ROMANA,https://antoniobullrich.com/remates/copa-bullrich-agosto-14h/lotes,28/08/2025,28/08/2025
29,DABLAMA,LA PASIÓN,IL MERCATO,DESCONSOLADA,https://antoniobullrich.com/remates/copa-bullrich-agosto-14h/lotes,28/08/2025,28/08/2025
30,EL THOR,FERRE,FORGE,TOPSHOP,https://antoniobullrich.com/remates/copa-bullrich-agosto-14h/lotes,28/08/2025,28/08/2025
31,BELLO SANDI,EGALITE DE 9,SANDINO RULER,CATCH BELLEZZA,https://antoniobullrich.com/remates/copa-bullrich-agosto-14h/lotes,28/08/2025,28/08/2025
32,PENNY BOOM,OLIVITO,HIT IT A BOMB,NISTEL SEITER,https://antoniobullrich.com/remates/copa-bullrich-agosto-14h/lotes,28/08/2025,28/08/2025
