lote,name,birth_year,haras,studbook_id,padrillo,M,birth_eday,sex,PR,PS,PRS,Remate,Start,End,Source,link,age,yegua
53,A HI DAY,2023.0,ABOLENGO,441697,HI HAPPY,ASPEN DAYS,2023-07-15,Female,0.53843218,0.34536856,0.18595755,Haras ABOLENGO,06-04-2025,08-04-2025,argsales,https://arg-sales.com//remates/view/344,1,False
47,ABRAZADORA,2023.0,EL MALLIN,447011,SOVEREIGN (IRE),ABIDE (FR),2023-10-08,Female,0.6625005,0.21378811,0.14163473,COPA BULLRICH ABRIL . 14h,10/04/2025,10/04/2025,bullrich,https://antoniobullrich.com//remates/copa-bullrich-abril-14h/lotes,1,False
34,AKI,2023.0,EL MALLIN,445321,CIMA DE TRIOMPHE (IRE),ACCESS CODE (USA),2023-10-20,Male,0.67970115,0.26333004,0.17898573,COPA BULLRICH ABRIL . 14h,10/04/2025,10/04/2025,bullrich,https://antoniobullrich.com//remates/copa-bullrich-abril-14h/lotes,1,False
1,ALDEA BOMB,2019.0,FIRMAMENTO,413415,HIT IT A BOMB (USA),ALDEA NISTEL,2019-07-17,Female,0.70655209,0.25558823,0.1805864,REMATE DE YEGUAS MADRES - FIRMAMENTO Y LA PASION . 14h,27/03/2025,27/03/2025,bullrich,https://antoniobullrich.com//remates/remate-de-yeguas-madres-firmamento-y-la-pasion-14h/lotes,5,True
16,ALGO DIFERENTE,2023.0,VACACION,442099,FORTIFY (USA),ALBERETA,2023-08-04,Male,0.67348671,0.31616861,0.21293536,Haras VACACION,26-03-2025,29-03-2025,argsales,https://arg-sales.com//remates/view/342,1,False
30,AMIGA VERDADERA,2023.0,VACACION,446560,FULL MAST (USA),AMIGA DEL CORAZON,2023-10-12,Female,0.62407923,0.20006078,0.12485378,Haras VACACION,26-03-2025,29-03-2025,argsales,https://arg-sales.com//remates/view/342,1,False
57,ANTOLINA,2023.0,VACACION,441601,REMOTE (GB),AMOR DE VERDAD,2023-07-10,Female,0.5412389,0.16026807,0.08674331,Haras VACACION,26-03-2025,29-03-2025,argsales,https://arg-sales.com//remates/view/342,1,False
2,ARDE LA CIUDAD,2012.0,LA PASION,327096,STORMY ATLANTIC (USA),ARDE TROYA,2012-10-01,Female,0.5607416,0.17100672,0.095890582,REMATE DE YEGUAS MADRES - FIRMAMENTO Y LA PASION . 14h,27/03/2025,27/03/2025,bullrich,https://antoniobullrich.com//remates/remate-de-yeguas-madres-firmamento-y-la-pasion-14h/lotes,12,True
3,ARTIGLIARI,2018.0,LA PASION,408644,EASING ALONG (USA),AFRIKANA,2018-09-27,Female,0.54198903,0.15072878,0.081693344,REMATE DE YEGUAS MADRES - FIRMAMENTO Y LA PASION . 14h,27/03/2025,27/03/2025,bullrich,https://antoniobullrich.com//remates/remate-de-yeguas-madres-firmamento-y-la-pasion-14h/lotes,6,True
4,ARZABAL,2023.0,VACACION,441837,FORTIFY (USA),AYRA,2023-07-30,Male,0.65977603,0.32051304,0.21146682,Haras VACACION,26-03-2025,29-03-2025,argsales,https://arg-sales.com//remates/view/342,1,False
50,ASPERO,2023.0,EL MALLIN,445493,NICHOLAS,RISPIDA,2023-09-25,Male,0.51152217,0.10419313,0.053297095,COPA BULLRICH ABRIL . 14h,10/04/2025,10/04/2025,bullrich,https://antoniobullrich.com//remates/copa-bullrich-abril-14h/lotes,1,False
16,ASTRONOMIST,2023.0,SANTA MARIA DE ARARAS,445908,DANIEL BOONE (BRZ),AT THE MAIL,2023-10-03,Female,0.57625425,0.14134192,0.081448883,Haras SANTA MARIA DE ARARAS,10-04-2025,13-04-2025,argsales,https://arg-sales.com//remates/view/345,1,False
38,BAD BOY,2023.0,VACACION,444414,TREASURE BEACH (GB),BARAHONA,2023-09-15,Male,0.67049986,0.19542775,0.13103427,Haras VACACION,26-03-2025,29-03-2025,argsales,https://arg-sales.com//remates/view/342,1,False
56,BAMBI BEACH,2023.0,ABOLENGO,443918,TREASURE BEACH (GB),BAMBI MIA,2023-09-09,Female,0.39175832,0.092345387,0.036177073,Haras ABOLENGO,06-04-2025,08-04-2025,argsales,https://arg-sales.com//remates/view/344,1,False
58,BARBARA GIRL,2023.0,ABOLENGO,445123,COSMIC TRIGGER,BARCELONA GIRL,2023-10-03,Female,0.42351374,0.081399649,0.03447387,Haras ABOLENGO,06-04-2025,08-04-2025,argsales,https://arg-sales.com//remates/view/344,1,False
19,BARBIE MARGOT,2023.0,ABOLENGO,441693,PNEUMATIC (USA),BARBIE GIRL,2023-07-12,Female,0.55169255,0.1757291,0.09694843,Haras ABOLENGO,06-04-2025,08-04-2025,argsales,https://arg-sales.com//remates/view/344,1,False
51,BEAUTIFUL MIND,2023.0,EL MALLIN,444094,IL MERCATO,ROMAN HOLIDAY,2023-09-03,Male,0.73275322,0.1434148,0.10508765,COPA BULLRICH ABRIL . 14h,10/04/2025,10/04/2025,bullrich,https://antoniobullrich.com//remates/copa-bullrich-abril-14h/lotes,1,False
4,BESUQUEIRA,2012.0,LA PASION,323557,ZENSATIONAL (USA),STORMY BEAM,2012-07-02,Female,0.65586674,0.13733469,0.090073258,REMATE DE YEGUAS MADRES - FIRMAMENTO Y LA PASION . 14h,27/03/2025,27/03/2025,bullrich,https://antoniobullrich.com//remates/remate-de-yeguas-madres-firmamento-y-la-pasion-14h/lotes,12,True
45,BLACK BOY,2023.0,ABOLENGO,441694,DADDY LONG LEGS (USA),BLACK SILKS,2023-07-13,Male,0.68574184,0.16816314,0.1153165,Haras ABOLENGO,06-04-2025,08-04-2025,argsales,https://arg-sales.com//remates/view/344,1,False
45,BOBBY CHARLTON,2023.0,EL MALLIN,448233,NICHOLAS,DIXIE MANIA,2023-09-20,Male,0.51290822,0.052721992,0.027041543,COPA BULLRICH ABRIL . 14h,10/04/2025,10/04/2025,bullrich,https://antoniobullrich.com//remates/copa-bullrich-abril-14h/lotes,1,False
28,BOHEMIA KISS,2023.0,SANTA MARIA DE ARARAS,447376,DANIEL BOONE (BRZ),BUTTERFLY KISS,2023-10-13,Female,0.56946713,0.12012872,0.068409361,Haras SANTA MARIA DE ARARAS,10-04-2025,13-04-2025,argsales,https://arg-sales.com//remates/view/345,1,False
5,BOMBA CURSI,2018.0,FIRMAMENTO,405920,HIT IT A BOMB (USA),CURSI NISTEL,2018-07-05,Female,0.73256582,0.23272768,0.17048834,REMATE DE YEGUAS MADRES - FIRMAMENTO Y LA PASION . 14h,27/03/2025,27/03/2025,bullrich,https://antoniobullrich.com//remates/remate-de-yeguas-madres-firmamento-y-la-pasion-14h/lotes,6,True
46,BON JOURNE,2023.0,VACACION,442693,TREASURE BEACH (GB),BEAUTY MUSIC,2023-08-10,Male,0.71594608,0.18798661,0.13458827,Haras VACACION,26-03-2025,29-03-2025,argsales,https://arg-sales.com//remates/view/342,1,False
29,BONUS TRACK,2023.0,ABOLENGO,442940,TREASURE BEACH (GB),BONICA NOIA,2023-08-21,Male,0.70040971,0.21818709,0.15282036,Haras ABOLENGO,06-04-2025,08-04-2025,argsales,https://arg-sales.com//remates/view/344,1,False
6,BOU SIGEN,2021.0,FIRMAMENTO,426515,SEAHENGE (USA),BOUCLETTE NISTEL,2021-07-02,Female,0.75166535,0.21926072,0.16481069,REMATE DE YEGUAS MADRES - FIRMAMENTO Y LA PASION . 14h,27/03/2025,27/03/2025,bullrich,https://antoniobullrich.com//remates/remate-de-yeguas-madres-firmamento-y-la-pasion-14h/lotes,3,False
52,BUEN BLUES,2023.0,VACACION,441817,LE BLUES,BORISHCA,2023-07-29,Male,0.69766021,0.11515439,0.080338635,Haras VACACION,26-03-2025,29-03-2025,argsales,https://arg-sales.com//remates/view/342,1,False
33,BURBUJAS DE AMOR,2023.0,VACACION,443523,CITYSCAPE (GB),BASTILLANA,2023-09-03,Female,0.60814965,0.21385956,0.13005862,Haras VACACION,26-03-2025,29-03-2025,argsales,https://arg-sales.com//remates/view/342,1,False
7,CAMBIA Y JUEGA,2018.0,LA PASION,405880,VIOLENCE (USA),CAMBIO Y FUERA,2018-07-25,Female,0.6195367,0.13380532,0.082897305,REMATE DE YEGUAS MADRES - FIRMAMENTO Y LA PASION . 14h,27/03/2025,27/03/2025,bullrich,https://antoniobullrich.com//remates/remate-de-yeguas-madres-firmamento-y-la-pasion-14h/lotes,6,True
12,CAMBIO RADICAL,2023.0,EL MALLIN,447001,SOVEREIGN (IRE),POORLITTLEBRIDGETT (USA),2023-08-13,Male,0.71472871,0.19615522,0.14019777,COPA BULLRICH ABRIL . 14h,10/04/2025,10/04/2025,bullrich,https://antoniobullrich.com//remates/copa-bullrich-abril-14h/lotes,1,False
62,CANDY MACHINE,2023.0,ABOLENGO,443912,PNEUMATIC (USA),CANDYDACY,2023-09-04,Female,0.48803023,0.096711397,0.047198083,Haras ABOLENGO,06-04-2025,08-04-2025,argsales,https://arg-sales.com//remates/view/344,1,False
22,CANDY MO,2023.0,ABOLENGO,441689,PNEUMATIC (USA),CITY AND THE SEX,2023-07-11,Male,0.61031091,0.17872606,0.10907847,Haras ABOLENGO,06-04-2025,08-04-2025,argsales,https://arg-sales.com//remates/view/344,1,False
