name,padrillo,M,birth_eday,sex,PR,PS,PRS,Haras,value,valueUSDB,pricePerBp,title,source,auctionOrder,studbook_id,year,date
emotions forever,treasure beach,mixed emotions,14aug2016,Macho,.633892,.031791177,.020152172,Aitue,70000,2352.9412,1167.5869,Resumen Venta Copa Agosto  Tattersall De Palermo,https://www.turfdiario.com/resumen-venta-copa-agosto-tattersall-de-palermo/,17,358672,2018,"15 aug, 2018"
ideocratica,remote,idocrase,12jul2016,Hembra,.60186732,.052127294,.031373713,Vacacion,350000,12398.158,3951.7664,Resumen Venta Invierno Haras Vacacion,https://www.turfdiario.com/resumen-venta-invierno-haras-vacacion/,34,358679,2018,"31 jul, 2018"
dibaba,remote,debouche,21jul2016,Hembra,.61851084,.078580044,.048602611,Vacacion,250000,8855.8271,1822.0887,Resumen Venta Invierno Haras Vacacion,https://www.turfdiario.com/resumen-venta-invierno-haras-vacacion/,36,358682,2018,"31 jul, 2018"
gran sabayon,sabayon,impresionable,29jul2016,Macho,.73035371,.031316295,.022871973,Las Camelias,56000,1454.5454,635.95099,Resumen Gran Venta Fallow Septiembre,https://www.turfdiario.com/resumen-gran-venta-fallow-septiembre/,39,358688,2018,"13 sep, 2018"
noche de birras,pure prize,noche de estrellas,02aug2016,Hembra,.58286518,.060340412,.035170324,Carampangue,1500000,38839.98,11043.396,Resumen Venta Productos Carampangue Y Santa Ines,https://www.turfdiario.com/resumen-venta-productos-carampangue-y-santa-ines/,19,358703,2018,"20 sep, 2018"
suggestions,suggestive boy,sainte chapelle,30jul2016,Hembra,.43262264,.03947391,.017077306,Carampangue,300000,7767.9961,4548.7246,Resumen Venta Productos Carampangue Y Santa Ines,https://www.turfdiario.com/resumen-venta-productos-carampangue-y-santa-ines/,28,358716,2018,"20 sep, 2018"
miss orpen,orpen,miss for sale,07jul2016,Hembra,.48919976,.048784491,.023865361,Carampangue,170000,4401.8643,1844.4574,Resumen Venta Productos Carampangue Y Santa Ines,https://www.turfdiario.com/resumen-venta-productos-carampangue-y-santa-ines/,16,358733,2018,"20 sep, 2018"
bell scape,cityscape,bell top,04jul2016,Hembra,.62003636,.068588115,.042527124,Firmamento,370000,9706.1914,2282.353,Resumen Gran Venta Primavera Haras Firmamento,https://www.turfdiario.com/resumen-gran-venta-primavera-haras-firmamento/,45,358756,2018,"26 sep, 2018"
florete de oro,suggestive boy,flor de noche,11aug2016,Macho,.4598859,.050939776,.023426484,Carampangue,310000,8026.9292,3426.4336,Resumen Venta Productos Carampangue Y Santa Ines,https://www.turfdiario.com/resumen-venta-productos-carampangue-y-santa-ines/,5,358820,2018,"20 sep, 2018"
pink dress,suggestive boy,pink pony,06aug2016,Hembra,.37868339,.046147563,.017475314,Carampangue,300000,7767.9961,4445.125,Resumen Venta Productos Carampangue Y Santa Ines,https://www.turfdiario.com/resumen-venta-productos-carampangue-y-santa-ines/,21,358821,2018,"20 sep, 2018"
