name,studbook_id
ALMA DINAMITA,421668
APALTA,443007
BARBARISIMA,329314
BESITAS,443311
BIONDA BELLA,421981
CALCOLATRICE,334186
CARALUNA,303356
CERCA DEL CIELO,447227
CIRCOSTANZA,347665
CONNI CRAF,402887
COSA SERIA,442504
COSMIC LOVE,424537
DANCER BABY,424670
EAST PRUSSIA,411513
EMOTION BAIRES,442783
ENAMORADA MIA,397231
EPOCA SOCIAL,427443
EVENTUAL CHARITY,397867
FLUTE MAGIC,441764
FONETIC STRIPES,398538
FONTAL BEACH,442773
FRUITY GIRL,434827
FUNK GIRL,297246
HANGA ROA,443011
HARMONY STAR,441877
HOJAS EN BLANCO,448179
INDICADA GIRL,398137
INDIRA,446624
ISA MORRIS,443751
ISTMINA,445804
JOYA PORTEÑA,442782
KARMA KISS,447388
KILAUEA,443316
LA BARBARIE,441528
LA GRAN ARTISTA,414544
LA LIMEÑITA,337806
LA TANGUERIA,442055
LA TIK TOK,441520
LA UNICA DAMA,406225
LIMA DE VERAS,254986
LINDA MENINA,447390
MALINCHERA,441759
MARINA CITY,446355
ME GUSTAS TU,442532
MONCHU,337241
NADIE COMO ELLA,441523
NILSA,444294
NO HAY NUNCA,442505
NO HAY PLATA,447534
NOT FOR STRIPES,418417
OBONA,398958
OLA POLAR,306418
OLIVE GARDEN,314367
ONE MARYLIN,284240
ORELLANA,419687
OSCA,445676
PETITE MECHI,445802
POR SIEMPRE VIDI,421027
PORRERA,427546
POWERFUL WIL,406935
QUE BUENA SEÑAL,443175
QUE SUENE EL HIMNO,414708
QUEEN AMBRA,446363
QUOTIDIANA,438194
REINA CASADA,417643
ROMAN LULA,310389
RUCAMARA,427374
RUN A RACE,444813
SANGRIA,445894
SHANI,445031
SIFRIA,447066
SILK CITY,415196
SUSPIRA LIMEÑA,402260
TABEADA,441767
TALKING ABOUT IT,306387
TANTAS VECES,446179
TATTOUM,283723
THESIS,441526
TRIUMPH OF LOVE,315367
TWIN SISTER,444301
UNCANNY VALLEY,414059
VA SOLA,442054
VALERISCA,307371
VIP CLASS (BRZ),374195
VIVA LAS VEGAS,307455
VOLTANA,444313
